2026-02-23 00:16:40,809 [BLOCK] No wallet key — monitor only
2026-02-23 00:16:40,937 [BLOCK] WS error: server rejected WebSocket connection: HTTP 429
2026-02-23 00:16:40,938 [BLOCK] Rotated WS to wss://base.drpc.org
2026-02-23 00:16:46,196 [BLOCK] Subscribed to blocks via wss://base.drpc.org (sub_id: 0x995d8bfc7a3ff0b1ae4591697337496551116be7)
2026-02-23 00:17:33,019 [BLOCK] Wallet: 0xdc118c4e1284e61e4d5277936a64B9E08Ad9e7EE
2026-02-23 00:17:33,021 [BLOCK] Block watcher thread started
2026-02-23 00:17:33,140 [BLOCK] WS error: server rejected WebSocket connection: HTTP 429
2026-02-23 00:17:33,140 [BLOCK] Rotated WS to wss://base.drpc.org
2026-02-23 00:17:38,315 [BLOCK] Subscribed to blocks via wss://base.drpc.org (sub_id: 0xb000c77a5f301dddd55effe89e0c0c08999fe885)
2026-02-23 00:17:46,821 [BLOCK] Block scan took 8.30s — too slow, reduce watched pairs
2026-02-23 00:17:57,634 [BLOCK] Block scan took 10.81s — too slow, reduce watched pairs
2026-02-23 00:18:06,961 [BLOCK] Block scan took 9.33s — too slow, reduce watched pairs
2026-02-23 00:18:16,758 [BLOCK] Block scan took 9.80s — too slow, reduce watched pairs
2026-02-23 00:18:27,682 [BLOCK] Block scan took 10.92s — too slow, reduce watched pairs
2026-02-23 00:18:37,035 [BLOCK] Block scan took 9.32s — too slow, reduce watched pairs
2026-02-23 00:18:46,870 [BLOCK] Block scan took 9.83s — too slow, reduce watched pairs
2026-02-23 00:18:57,596 [BLOCK] Block scan took 10.73s — too slow, reduce watched pairs
2026-02-23 00:19:06,818 [BLOCK] Block scan took 9.22s — too slow, reduce watched pairs
2026-02-23 00:19:17,753 [BLOCK] Block scan took 10.93s — too slow, reduce watched pairs
2026-02-23 00:19:26,869 [BLOCK] Block scan took 9.12s — too slow, reduce watched pairs
2026-02-23 00:19:36,796 [BLOCK] Block scan took 9.93s — too slow, reduce watched pairs
2026-02-23 00:19:47,571 [BLOCK] Block scan took 10.77s — too slow, reduce watched pairs
2026-02-23 00:19:56,880 [BLOCK] Block scan took 9.31s — too slow, reduce watched pairs
2026-02-23 00:20:06,823 [BLOCK] Block scan took 9.93s — too slow, reduce watched pairs
2026-02-23 00:20:17,634 [BLOCK] Block scan took 10.81s — too slow, reduce watched pairs
2026-02-23 00:20:27,149 [BLOCK] Block scan took 9.51s — too slow, reduce watched pairs
2026-02-23 00:20:36,867 [BLOCK] Block scan took 9.72s — too slow, reduce watched pairs
2026-02-23 00:20:47,597 [BLOCK] Block scan took 10.73s — too slow, reduce watched pairs
2026-02-23 00:20:56,837 [BLOCK] Block scan took 9.24s — too slow, reduce watched pairs
2026-02-23 00:21:07,562 [BLOCK] Block scan took 10.72s — too slow, reduce watched pairs
2026-02-23 00:21:16,845 [BLOCK] Block scan took 9.28s — too slow, reduce watched pairs
2026-02-23 00:21:27,504 [BLOCK] Block scan took 10.66s — too slow, reduce watched pairs
2026-02-23 00:21:36,868 [BLOCK] Block scan took 9.36s — too slow, reduce watched pairs
2026-02-23 00:21:47,649 [BLOCK] Block scan took 10.78s — too slow, reduce watched pairs
2026-02-23 00:21:56,810 [BLOCK] Block scan took 9.16s — too slow, reduce watched pairs
